  203.187.217.203 |   2   7.692 % |   2   0.296 %
    220.226.6.117 |   2   7.692 % |   2   0.296 %
     213.55.95.18 |   2   7.692 % |   2   0.296 %
   200.35.174.126 |   2   7.692 % |   2   0.296 %
   117.18.224.147 |   2   7.692 % |   2   0.296 %
   202.138.113.53 |   2   7.692 % |   2   0.296 %
     61.6.254.169 |   2   7.692 % |   2   0.296 %
     144.173.6.71 |   2   7.692 % |   2   0.296 %
    79.106.109.94 |   2   7.692 % |   2   0.296 %
    180.149.11.13 |   2   7.692 % |   2   0.296 %
    200.12.221.16 |   2   7.692 % |   2   0.296 %
   220.226.100.55 |   2   7.692 % |   2   0.296 %
   98.103.203.225 |   2   7.692 % |   2   0.296 %
     91.202.252.5 |   2   7.692 % |   2   0.296 %
   162.93.253.139 |   2   7.692 % |   2   0.296 %
   220.226.100.56 |   2   7.692 % |   2   0.296 %
   220.226.100.57 |   2   7.692 % |   2   0.296 %
   220.226.100.58 |   2   7.692 % |   2   0.296 %
   220.226.100.59 |   2   7.692 % |   2   0.296 %
     46.108.6.254 |   2   7.692 % |   2   0.296 %
    140.32.16.113 |   2   7.692 % |   2   0.296 %
     77.74.248.53 |   2   7.692 % |   2   0.296 %
    200.59.15.225 |   2   7.692 % |   2   0.296 %
   220.181.124.51 |   2   7.692 % |   3   0.444 %
      80.97.56.19 |   2   7.692 % |   2   0.296 %
  210.196.248.242 |   2   7.692 % |   2   0.296 %
    166.147.121.1 |   2   7.692 % |   2   0.296 %
     195.178.38.3 |   2   7.692 % |   3   0.444 %
   162.93.195.134 |   2   7.692 % |   3   0.444 %
    206.80.254.68 |   2   7.692 % |   2   0.296 %
     64.184.24.27 |   2   7.692 % |   2   0.296 %
    220.226.6.120 |   2   7.692 % |   2   0.296 %
      208.64.24.2 |   2   7.692 % |   2   0.296 %
    220.226.6.122 |   2   7.692 % |   2   0.296 %
   162.93.212.199 |   2   7.692 % |   2   0.296 %
  203.217.145.130 |   2   7.692 % |   2   0.296 %
    220.226.6.123 |   2   7.692 % |   2   0.296 %
    66.202.122.66 |   2   7.692 % |   2   0.296 %
      168.167.8.3 |   2   7.692 % |   2   0.296 %
     212.49.70.22 |   2   7.692 % |   2   0.296 %
    12.130.136.12 |   2   7.692 % |   2   0.296 %
    162.93.124.50 |   2   7.692 % |   2   0.296 %
    12.130.136.14 |   2   7.692 % |   2   0.296 %
     212.3.137.41 |   2   7.692 % |   2   0.296 %
    66.146.160.12 |   2   7.692 % |   2   0.296 %
    109.237.218.1 |   2   7.692 % |   2   0.296 %
    203.153.43.70 |   2   7.692 % |   2   0.296 %
     77.74.36.229 |   2   7.692 % |   2   0.296 %
    173.212.47.46 |   2   7.692 % |   2   0.296 %
     66.37.238.26 |   2   7.692 % |   2   0.296 %
   216.170.225.36 |   2   7.692 % |   2   0.296 %
  202.162.220.110 |   2   7.692 % |   2   0.296 %
      184.2.156.3 |   2   7.692 % |   2   0.296 %
      80.93.224.2 |   2   7.692 % |   2   0.296 %
    94.27.127.228 |   2   7.692 % |   2   0.296 %
     64.194.65.54 |   2   7.692 % |   2   0.296 %
     200.57.64.85 |   2   7.692 % |   2   0.296 %
     91.192.152.7 |   2   7.692 % |   2   0.296 %
     118.67.200.1 |   2   7.692 % |   2   0.296 %
    202.138.96.45 |   2   7.692 % |   2   0.296 %
   80.254.111.155 |   2   7.692 % |   2   0.296 %
    85.113.212.73 |   2   7.692 % |   2   0.296 %
    65.112.137.45 |   2   7.692 % |   2   0.296 %
   67.222.159.250 |   2   7.692 % |   2   0.296 %
      204.8.162.1 |   1   3.846 % |   1   0.148 %
      66.118.80.4 |   1   3.846 % |   1   0.148 %
     202.44.32.29 |   1   3.846 % |   1   0.148 %
     62.177.32.35 |   1   3.846 % |   1   0.148 %
