   Query_Type | #Occurences   | % of total records
        27889 | 1             | 0.000
        27665 | 1             | 0.000
        27611 | 1             | 0.000
        27520 | 1             | 0.000
        27473 | 1             | 0.000
        27429 | 1             | 0.000
        27364 | 1             | 0.000
        27294 | 1             | 0.000
        27282 | 1             | 0.000
        27244 | 1             | 0.000
        27195 | 1             | 0.000
        27127 | 1             | 0.000
          271 | 1             | 0.000
        26939 | 1             | 0.000
        26878 | 1             | 0.000
         2686 | 1             | 0.000
        26846 | 1             | 0.000
        26815 | 1             | 0.000
         2681 | 1             | 0.000
        26652 | 1             | 0.000
        26574 | 1             | 0.000
        26527 | 1             | 0.000
        26501 | 1             | 0.000
        26422 | 1             | 0.000
        26410 | 1             | 0.000
        26397 | 1             | 0.000
        26306 | 1             | 0.000
        26168 | 1             | 0.000
        26078 | 1             | 0.000
        25974 | 1             | 0.000
         2593 | 1             | 0.000
         2589 | 1             | 0.000
        25822 | 1             | 0.000
        25697 | 1             | 0.000
        25689 | 1             | 0.000
        25666 | 1             | 0.000
        25645 | 1             | 0.000
        25453 | 1             | 0.000
         2535 | 1             | 0.000
        25248 | 1             | 0.000
        25198 | 1             | 0.000
        25167 | 1             | 0.000
        25132 | 1             | 0.000
        25070 | 1             | 0.000
        25007 | 1             | 0.000
         2481 | 1             | 0.000
        24785 | 1             | 0.000
        24656 | 1             | 0.000
        24622 | 1             | 0.000
        24536 | 1             | 0.000
        24253 | 1             | 0.000
        24218 | 1             | 0.000
        24209 | 1             | 0.000
        24162 | 1             | 0.000
        24148 | 1             | 0.000
           24 | 1             | 0.000
        24032 | 1             | 0.000
        24027 | 1             | 0.000
        23765 | 1             | 0.000
        23651 | 1             | 0.000
        23467 | 1             | 0.000
        23317 | 1             | 0.000
        23314 | 1             | 0.000
        23292 | 1             | 0.000
        23262 | 1             | 0.000
        23090 | 1             | 0.000
        23083 | 1             | 0.000
        23002 | 1             | 0.000
        22785 | 1             | 0.000
        22639 | 1             | 0.000
        22590 | 1             | 0.000
        22538 | 1             | 0.000
        22502 | 1             | 0.000
        22434 | 1             | 0.000
        22378 | 1             | 0.000
        22308 | 1             | 0.000
        22305 | 1             | 0.000
        22240 | 1             | 0.000
        22232 | 1             | 0.000
        22225 | 1             | 0.000
        22184 | 1             | 0.000
        22177 | 1             | 0.000
        22152 | 1             | 0.000
        22127 | 1             | 0.000
        22121 | 1             | 0.000
        22040 | 1             | 0.000
        22013 | 1             | 0.000
        21875 | 1             | 0.000
         2170 | 1             | 0.000
        21610 | 1             | 0.000
        21595 | 1             | 0.000
        21460 | 1             | 0.000
         2131 | 1             | 0.000
        21172 | 1             | 0.000
        21074 | 1             | 0.000
        21052 | 1             | 0.000
        21008 | 1             | 0.000
         2098 | 1             | 0.000
        20948 | 1             | 0.000
        20925 | 1             | 0.000
        20723 | 1             | 0.000
        20654 | 1             | 0.000
        20608 | 1             | 0.000
        20604 | 1             | 0.000
        20483 | 1             | 0.000
        20450 | 1             | 0.000
          204 | 1             | 0.000
        20323 | 1             | 0.000
        20235 | 1             | 0.000
        20089 | 1             | 0.000
        20083 | 1             | 0.000
        20060 | 1             | 0.000
        20058 | 1             | 0.000
        19950 | 1             | 0.000
        19932 | 1             | 0.000
        19887 | 1             | 0.000
        19886 | 1             | 0.000
         1986 | 1             | 0.000
        19853 | 1             | 0.000
        19833 | 1             | 0.000
        19577 | 1             | 0.000
        19418 | 1             | 0.000
        19394 | 1             | 0.000
        19364 | 1             | 0.000
        19328 | 1             | 0.000
        19287 | 1             | 0.000
         1922 | 1             | 0.000
        19191 | 1             | 0.000
        19050 | 1             | 0.000
        19020 | 1             | 0.000
        19013 | 1             | 0.000
          190 | 1             | 0.000
        18977 | 1             | 0.000
        18971 | 1             | 0.000
        18814 | 1             | 0.000
        18809 | 1             | 0.000
        18695 | 1             | 0.000
        18625 | 1             | 0.000
        18573 | 1             | 0.000
        18550 | 1             | 0.000
        18447 | 1             | 0.000
        18340 | 1             | 0.000
        18302 | 1             | 0.000
        18192 | 1             | 0.000
        18159 | 1             | 0.000
        18150 | 1             | 0.000
        18125 | 1             | 0.000
        18099 | 1             | 0.000
        18069 | 1             | 0.000
        18040 | 1             | 0.000
        17984 | 1             | 0.000
        17942 | 1             | 0.000
        17932 | 1             | 0.000
        17917 | 1             | 0.000
        17885 | 1             | 0.000
        17867 | 1             | 0.000
        17844 | 1             | 0.000
        17828 | 1             | 0.000
        17820 | 1             | 0.000
         1775 | 1             | 0.000
        17676 | 1             | 0.000
        17598 | 1             | 0.000
         1759 | 1             | 0.000
        17417 | 1             | 0.000
        17408 | 1             | 0.000
        17383 | 1             | 0.000
        17360 | 1             | 0.000
        17314 | 1             | 0.000
        17277 | 1             | 0.000
        16817 | 1             | 0.000
        16766 | 1             | 0.000
          166 | 1             | 0.000
        16543 | 1             | 0.000
        16427 | 1             | 0.000
        16401 | 1             | 0.000
        16385 | 1             | 0.000
        16384 | 1             | 0.000
        16365 | 1             | 0.000
        16313 | 1             | 0.000
        16285 | 1             | 0.000
        16279 | 1             | 0.000
         1625 | 1             | 0.000
        16239 | 1             | 0.000
        16202 | 1             | 0.000
        16171 | 1             | 0.000
        16049 | 1             | 0.000
        15965 | 1             | 0.000
        15958 | 1             | 0.000
        15935 | 1             | 0.000
        15893 | 1             | 0.000
        15856 | 1             | 0.000
         1579 | 1             | 0.000
        15738 | 1             | 0.000
         1570 | 1             | 0.000
        15682 | 1             | 0.000
        15670 | 1             | 0.000
        15608 | 1             | 0.000
         1537 | 1             | 0.000
        15316 | 1             | 0.000
        15267 | 1             | 0.000
         1518 | 1             | 0.000
        15157 | 1             | 0.000
        15111 | 1             | 0.000
        15083 | 1             | 0.000
        15042 | 1             | 0.000
         1504 | 1             | 0.000
        15009 | 1             | 0.000
        14967 | 1             | 0.000
        14902 | 1             | 0.000
        14887 | 1             | 0.000
        14856 | 1             | 0.000
        14847 | 1             | 0.000
        14690 | 1             | 0.000
        14613 | 1             | 0.000
         1451 | 1             | 0.000
        14489 | 1             | 0.000
        14451 | 1             | 0.000
        14435 | 1             | 0.000
        14410 | 1             | 0.000
        14351 | 1             | 0.000
        14298 | 1             | 0.000
        14288 | 1             | 0.000
        14284 | 1             | 0.000
        14262 | 1             | 0.000
        14187 | 1             | 0.000
        14026 | 1             | 0.000
        13734 | 1             | 0.000
        13677 | 1             | 0.000
        13533 | 1             | 0.000
        13400 | 1             | 0.000
        13325 | 1             | 0.000
   1328622877 | 1             | 0.000
   1328621654 | 1             | 0.000
   1328621348 | 1             | 0.000
   1328620458 | 1             | 0.000
   1328195881 | 1             | 0.000
   1328194660 | 1             | 0.000
   1328193742 | 1             | 0.000
   1328193436 | 1             | 0.000
   1328192821 | 1             | 0.000
   1328192515 | 1             | 0.000
   1328190538 | 1             | 0.000
   1328189927 | 1             | 0.000
   1328189011 | 1             | 0.000
   1328188705 | 1             | 0.000
   1328181985 | 1             | 0.000
   1328181679 | 1             | 0.000
        13231 | 1             | 0.000
        13222 | 1             | 0.000
         1299 | 1             | 0.000
        12922 | 1             | 0.000
        12809 | 1             | 0.000
        12807 | 1             | 0.000
        12703 | 1             | 0.000
        12702 | 1             | 0.000
         1251 | 1             | 0.000
          125 | 1             | 0.000
        12489 | 1             | 0.000
        12462 | 1             | 0.000
        12443 | 1             | 0.000
        12324 | 1             | 0.000
          123 | 1             | 0.000
        12196 | 1             | 0.000
        12129 | 1             | 0.000
        12085 | 1             | 0.000
        12039 | 1             | 0.000
        11880 | 1             | 0.000
        11874 | 1             | 0.000
        11722 | 1             | 0.000
        11691 | 1             | 0.000
        11656 | 1             | 0.000
        11632 | 1             | 0.000
        11517 | 1             | 0.000
        11500 | 1             | 0.000
        11343 | 1             | 0.000
        11326 | 1             | 0.000
        11291 | 1             | 0.000
        11223 | 1             | 0.000
        11212 | 1             | 0.000
        11155 | 1             | 0.000
         1108 | 1             | 0.000
        10895 | 1             | 0.000
          108 | 1             | 0.000
        10585 | 1             | 0.000
        10519 | 1             | 0.000
        10499 | 1             | 0.000
        10385 | 1             | 0.000
        10365 | 1             | 0.000
         1025 | 1             | 0.000
        10208 | 1             | 0.000
         1020 | 1             | 0.000
         1016 | 1             | 0.000
        10087 | 1             | 0.000
        10044 | 1             | 0.000
